Epoch,Split,Layer,Group,SubID,Accuracy,Precision,Recall,F1,AP
0,Train,ClassifyLayer_1,building,0,0.6327,0.2308,0.0395,0.0674,0.3468
0,Train,ClassifyLayer_1,building,1,0.8451,0.0,0.0,0.0,0.1328
0,Train,ClassifyLayer_1,building,2,0.6947,0.2963,0.1379,0.1882,0.2942
0,Train,ClassifyLayer_1,building,3,0.5708,0.5741,0.2952,0.3899,0.5315
0,Train,ClassifyLayer_1,building,4,0.9735,0.0,0.0,0.0,0.0125
0,Train,ClassifyLayer_1,building,5,0.9735,0.0,0.0,0.0,0.0294
0,Train,ClassifyLayer_1,building,6,0.7212,0.3846,0.0833,0.137,0.3048
0,Train,ClassifyLayer_1,building,7,0.7212,0.0,0.0,0.0,0.2543
0,Train,ClassifyLayer_1,building,MEAN,0.7665875,0.185725,0.06948750000000001,0.0978125,0.2382875
0,Train,ClassifyLayer_1,greenery,0,0.8938,0.0,0.0,0.0,0.1042
0,Train,ClassifyLayer_1,greenery,1,0.9159,0.0,0.0,0.0,0.0607
0,Train,ClassifyLayer_1,greenery,2,0.7434,0.2857,0.0769,0.1212,0.2454
0,Train,ClassifyLayer_1,greenery,3,0.615,0.1837,0.1607,0.1714,0.214
0,Train,ClassifyLayer_1,greenery,4,0.6283,0.6339,0.9861,0.7717,0.5964
0,Train,ClassifyLayer_1,greenery,5,0.8894,0.0,0.0,0.0,0.1205
0,Train,ClassifyLayer_1,greenery,6,1.0,0.0,0.0,0.0,0.0
0,Train,ClassifyLayer_1,greenery,MEAN,0.8122571428571429,0.1576142857142857,0.17481428571428573,0.15204285714285715,0.1916
0,Train,ClassifyLayer_1,infrastructure,0,0.9248,0.0,0.0,0.0,0.0971
0,Train,ClassifyLayer_1,infrastructure,1,0.5664,0.1667,0.3947,0.2344,0.1814
0,Train,ClassifyLayer_1,infrastructure,2,0.708,0.5,0.0152,0.0294,0.2709
0,Train,ClassifyLayer_1,infrastructure,3,0.9779,0.0,0.0,0.0,0.0165
0,Train,ClassifyLayer_1,infrastructure,4,0.9159,0.0,0.0,0.0,0.0774
0,Train,ClassifyLayer_1,infrastructure,5,0.6858,0.25,0.082,0.1235,0.2835
0,Train,ClassifyLayer_1,infrastructure,6,0.9602,0.0,0.0,0.0,0.0414
0,Train,ClassifyLayer_1,infrastructure,7,0.969,0.0,0.0,0.0,0.02
0,Train,ClassifyLayer_1,infrastructure,MEAN,0.8385,0.1145875,0.0614875,0.0484125,0.123525
0,Train,ClassifyLayer_1,road,0,0.6947,0.28,0.1207,0.1687,0.2598
